timestamp_ms,task_name,run_count,exec_time_ms,period_ms,priority,deadline_met,jitter_ms,cpu_percent,confidence,entropy
184772001.50,T_sensor_check,18,4.926,150.00,20,1,0.071,3.7,,
184772010.77,T_sched_monitor,65,5.114,40.00,90,1,0.007,5.9,,
184772045.57,T_capture,27,0.019,100.00,70,1,0.011,2.9,,
184772052.34,T_actuate,53,6.367,50.00,70,1,0.003,1.4,,
184772052.45,T_sched_monitor,66,6.720,40.00,90,1,0.322,2.0,,
184772094.57,T_sched_monitor,67,7.998,40.00,90,1,0.012,11.5,,
184772110.44,T_actuate,54,14.168,50.00,70,1,0.010,15.7,,
184772144.46,T_sched_monitor,68,17.930,40.00,90,1,0.013,13.3,,
184772146.48,T_capture,28,0.019,100.00,70,1,0.570,11.7,,
184772148.74,T_sensor_check,19,2.305,150.00,20,1,0.202,8.8,,
184772152.47,T_actuate,55,6.165,50.00,70,1,0.017,2.6,,
184772168.99,T_sched_monitor,69,3.167,40.00,90,1,0.011,8.3,,
184772189.24,T_infer,14,18.342,250.00,20,1,0.005,7.2,,
184772202.69,T_actuate,56,6.158,50.00,70,1,0.011,4.8,,
184772205.84,T_sched_monitor,70,0.183,40.00,90,1,0.009,2.6,,
184772245.73,T_capture,29,0.022,100.00,70,1,0.017,5.4,,
184772246.32,T_actuate,57,0.008,50.00,70,1,0.142,5.8,,
184772252.34,T_sched_monitor,71,5.589,40.00,90,1,1.031,11.4,,
184772294.42,T_sched_monitor,72,8.506,40.00,90,1,0.016,2.3,,
184772300.11,T_sensor_check,20,4.145,150.00,20,1,0.008,4.3,,
184772302.54,T_actuate,58,6.403,50.00,70,1,0.007,1.2,,
184772329.33,T_sched_monitor,73,3.367,40.00,90,1,0.013,3.7,,
184772345.57,T_capture,30,0.019,100.00,70,1,0.011,6.2,,
184772352.60,T_actuate,59,6.330,50.00,70,1,0.067,14.0,,
184772368.09,T_sched_monitor,74,2.265,40.00,90,1,0.007,15.6,,
184772403.17,T_actuate,60,6.757,50.00,70,1,0.012,0.0,,
184772410.81,T_sched_monitor,75,4.943,40.00,90,1,0.009,3.1,,
184772439.58,T_infer,15,18.707,250.00,20,1,0.008,5.4,,
184772445.58,T_sched_monitor,76,0.167,40.00,90,1,0.008,9.1,,
184772445.80,T_actuate,61,0.005,50.00,70,1,0.003,9.4,,
184772446.18,T_capture,31,0.009,100.00,70,1,0.403,4.3,,
184772448.27,T_sensor_check,21,2.325,150.00,20,1,0.046,7.1,,
184772494.60,T_sched_monitor,77,8.367,40.00,90,1,0.068,26.3,,
184772511.00,T_actuate,62,14.504,50.00,70,1,0.008,11.6,,
184772535.53,T_sched_monitor,78,9.653,40.00,90,1,0.011,0.0,,
184772545.68,T_capture,32,0.022,100.00,70,1,0.010,5.4,,
184772552.01,T_actuate,63,5.878,50.00,70,1,0.081,1.7,,
184772568.51,T_sched_monitor,79,2.329,40.00,90,1,0.010,2.4,,
184772598.60,T_sensor_check,22,2.694,150.00,20,1,0.015,6.7,,
184772602.02,T_actuate,64,5.589,50.00,70,1,0.214,6.7,,
184772618.67,T_sched_monitor,80,12.861,40.00,90,1,0.005,6.6,,
184772646.23,T_capture,33,0.025,100.00,70,1,0.296,5.1,,
184772652.13,T_actuate,65,5.841,50.00,70,1,0.014,0.0,,
184772652.74,T_sched_monitor,81,5.898,40.00,90,1,0.951,0.0,,
184772689.79,T_infer,16,18.751,250.00,20,1,0.013,7.4,,
184772690.37,T_sched_monitor,82,4.557,40.00,90,1,0.116,21.2,,
184772695.78,T_actuate,66,0.008,50.00,70,1,0.008,15.1,,
184772744.25,T_sched_monitor,83,17.704,40.00,90,1,0.013,13.8,,
184772745.87,T_capture,34,0.021,100.00,70,1,0.013,15.0,,
184772748.95,T_sensor_check,23,2.375,150.00,20,1,0.186,10.6,,
184772752.60,T_actuate,67,6.051,50.00,70,1,0.299,14.8,,
184772768.38,T_sched_monitor,84,2.241,40.00,90,1,0.013,6.9,,
184772803.05,T_actuate,68,6.583,50.00,70,1,0.019,5.0,,
184772810.67,T_sched_monitor,85,4.790,40.00,90,1,0.009,3.9,,
184772845.80,T_capture,35,0.023,100.00,70,1,0.060,12.2,,
184772859.97,T_actuate,69,13.093,50.00,70,1,0.219,23.5,,
184772861.02,T_sched_monitor,86,14.700,40.00,90,1,0.016,27.5,,
184772898.24,T_sensor_check,24,2.122,150.00,20,1,0.016,13.9,,
184772902.15,T_actuate,70,5.755,50.00,70,1,0.205,17.5,,
184772902.42,T_sched_monitor,87,16.855,40.00,90,1,0.016,7.7,,
184772928.49,T_sched_monitor,88,2.286,40.00,90,1,0.010,10.8,,
184772940.72,T_infer,17,19.790,250.00,20,1,0.014,14.1,,
184772946.49,T_capture,36,0.021,100.00,70,1,0.361,15.4,,
184772952.02,T_actuate,71,5.820,50.00,70,1,0.013,12.5,,
184772965.73,T_sched_monitor,89,0.273,40.00,90,1,0.013,9.1,,
184772996.21,T_actuate,72,0.011,50.00,70,1,0.013,13.4,,
184773010.62,T_sched_monitor,90,4.696,40.00,90,1,0.009,12.3,,
184773045.77,T_capture,37,0.023,100.00,70,1,0.095,9.2,,
184773048.53,T_sensor_check,25,2.438,150.00,20,1,0.133,11.2,,
184773052.18,T_actuate,73,5.720,50.00,70,1,0.328,7.5,,
184773052.42,T_sched_monitor,91,6.940,40.00,90,1,0.016,11.1,,
